tt0102640,The Gamble,1988,"Comedy, History",Carlo Vanzina,"Matthew Modine, Faye Dunaway, Jennifer Beals, Ian Bannen"
tt4191374,Ti voglio bene,2015,Documentary,Lyia Terki,N/A
tt0101330,Americano rosso,1991,Comedy,Alessandro D'Alatri,"Burt Young, Fabrizio Bentivoglio, Valeria Milillo, Sabrina Ferilli"
tt0062271,"The Birds, the Bees and the Italians",1966,Comedy,Pietro Germi,"Virna Lisi, Gastone Moschin, Alberto Lionello, Olga Villi"
tt0079991,Tatort,1979,Crime,Wolfgang Staudte,"Hansjörg Felmy, Klaus Löwitsch, Karin Eickelbaum, Hans Georg Panczak"
tt0793030,The Amazing Race,2003,"Action, Adventure, Game-Show",N/A,"Phil Keoghan, Kelly Parks, Jon Corso, Monica Ambrose"
tt0285335,The Amazing Race,2001–,"Action, Adventure, Game-Show",N/A,Phil Keoghan
tt1048394,Episode #1.3211,2000,"Drama, Romance",N/A,"Darlene Conley, Susan Flannery, Winsor Harmon, Katherine Kelly Lang"
tt0101330,Americano rosso,1991,Comedy,Alessandro D'Alatri,"Burt Young, Fabrizio Bentivoglio, Valeria Milillo, Sabrina Ferilli"
tt0842515,Conny und die verschwundene Ehefrau,2005,"Comedy, Crime",Reinhard Schwabenitzky,"Elfi Eschke, Peter Fricke, Stefanie Frischeis, Johannes Krisch"
tt0065614,Das kann doch unsren Willi nicht erschüttern,1970,Comedy,Rolf Olsen,"Heinz Erhardt, Ruth Stephan, Günther Jerschke, Käte Jaenicke"
tt0065406,Million Dollar Eel,1971,Comedy,Salvatore Samperi,"Ottavia Piccolo, Lino Toffolo, Mario Adorf, Rodolfo Baldini"
tt2851344,Paradise Island,2006–2008,Action,N/A,"Alexander Hölzl, Dana Proetsch, Uwe Stoiber, Thomas Pramhas"
tt0062656,A Place for Lovers,1968,"Drama, Romance",Vittorio De Sica,"Faye Dunaway, Marcello Mastroianni, Enrico Simonetti, Caroline Mortimer"
tt1016235,Sehnsucht nach Rimini,2007,Comedy,Dietmar Klein,"Nicole Heesters, Rebecca Immanuel, Timothy Peach, Juraj Kukura"
tt1817274,The Real Casanova,2003,"Documentary, Biography, History",Neil Rawles,"John Simm, Aldo Alessio, Paul Marc Davis, Donato Restaino"
tt0083390,Brideshead Revisited,1981,"Drama, Romance",N/A,"Jeremy Irons, Diana Quick, Roger Milner, Phoebe Nicholls"
tt0047469,Senso,1954,"Drama, History, Romance",Luchino Visconti,"Alida Valli, Farley Granger, Heinz Moog, Rina Morelli"
tt0039781,Rocambole,1948,Drama,Jacques de Baroncelli,"Pierre Brasseur, Sophie Desmarets, Lucien Nat, Robert Arnoux"
tt0036826,Fiori d'arancio,1944,N/A,Dino Hobbes Cecchini,"Toti Dal Monte, Carlo Micheluzzi, Andreina Carli, Luigi Tosi"
tt0037234,Rosalba,1944,N/A,"Max Calandri, Ferruccio Cerio","Gino Bianchi, Federico Collino, Doris Duranti, Mario Gallina"
